U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
33,90V;29,03V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:58.679
33,90V;29,03V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:59.679
33,90V;29,03V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:00.679
33,90V;29,03V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:01.679
33,90V;29,03V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:02.679
33,90V;29,04V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:03.680
33,90V;29,04V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:04.679
33,90V;29,04V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:05.679
33,90V;29,04V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:06.679
33,90V;29,04V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:07.679
33,90V;29,05V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:08.679
33,90V;29,05V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:09.679
33,90V;29,05V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:10.680
33,90V;29,06V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:11.679
33,90V;29,06V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:12.680
33,90V;29,06V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:13.679
33,90V;29,06V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:14.679
33,90V;29,07V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:15.679
33,90V;29,07V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:16.679
33,90V;29,07V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:17.679
33,90V;29,07V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:18.679
33,90V;29,07V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:19.679
33,90V;29,07V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:20.680
33,90V;29,08V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:21.679
33,90V;29,08V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:22.679
33,90V;29,08V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:23.679
33,90V;29,08V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:24.679
33,90V;29,08V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:25.680
33,90V;29,09V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:26.679
33,90V;29,09V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:27.679
33,90V;29,09V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:28.679
33,90V;29,09V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:29.680
33,90V;29,10V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:30.679
